Phase,AUC,Brier,Accuracy,Precision,Recall,F1
Final-Uncalibrated,0.939047619047619,,0.782608695652174,0.6896551724137931,0.9523809523809523,0.8
Final-Calibrated,0.9400000000000001,0.096183844962934,0.8043478260869565,0.7142857142857143,0.9523809523809523,0.8163265306122449
